uniprot_id,combined,learned_score,top_pocket,top_pocket_residues,p_ip_given_site,hull_depth,plddt_mean,organism_key,annotated,seen,cluster,rank,precision_at_rank,gene,protein_name,keywords,function,explained
Q54G81,0.7295271653482154,0.8503579931375153,182,"1387,1390,1391,1437,1440,1443,1444,1446,1490,1542,1545,1546,1549,1552,1553,1555,1557,1564,1597,1598,1599,1601,1602,1603,1605,1606,1609,1613,1652,1653,1656,1658,1660,1661,1664,1668,1776,2352",0.8579059304852565,29.627292231045296,85.688,dictyostelium,False,False,Q54G81,1,0.0,,separase (EC 3.4.22.49),Chromosome partition;Hydrolase;Membrane;Protease;Reference proteome;Thiol protease;TPR repeat;Transmembrane;Transmembrane helix,,False
Q54WR2,0.6932415974648289,0.7973796886817576,446,"356,359,363,401,404,405,408,448,451,452,455,459,485,488,489,492,496,534,536,540,590,592,593,594",0.8693996189079112,22.774381705293397,79.95625,dictyostelium,False,False,Q54WR2,2,0.0,gcn1,eIF-2-alpha kinase activator GCN1 (GCN1-like protein 1) (Translational activator gcn1),Activator;Cytoplasm;Reference proteome;Repeat;Stress response;Translation regulation,"FUNCTION: Ribosome collision sensor that activates a translation quality control pathway when a ribosome has stalled during translation (By similarity). Directly binds to the ribosome and acts as a sentinel for colliding ribosomes (By similarity). Gcn1 also acts as a positive activator of the integrated stress response (ISR) by mediating activation of eif2ak4/gcn2 in response to amino acid starvation (By similarity). Interaction with eif2ak4/gcn2 on translating ribosomes stimulates eif2ak4/gcn2 kinase activity, leading to phosphorylation of eukaryotic translation initiation factor 2 (eIF-2-alpha/eif2s1) (By similarity). EIF2S1/eIF-2-alpha phosphorylation converts EIF2S1/eIF-2-alpha into a global protein synthesis inhibitor, leading to a global attenuation of cap-dependent translation, and thus to a reduced overall utilization of amino acids, while concomitantly initiating the preferential translation of ISR-specific mRNAs, such as the transcriptional activator atf4, and hence allowing atf4-mediated reprogramming of amino acid biosynthetic gene expression to alleviate nutrient depletion (By similarity). {ECO:0000250|UniProtKB:E9PVA8, ECO:0000250|UniProtKB:P33892, ECO:0000250|UniProtKB:Q92616}.",True
Q54X63,0.6914177541593866,0.7939093542165074,110,"461,462,711,712,713,904,969,970,971,1132",0.8709026420802565,14.332377200668397,88.65529411764706,dictyostelium,False,False,Q9NQ11,3,0.0,,Cation-transporting ATPase (EC 7.2.2.-),ATP-binding;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Translocase;Transmembrane;Transmembrane helix,,True
Q558S9,0.6908332931785139,0.7960369654913931,21,"235,236,264,265,266,267,290,291,292,293,316,317,319",0.867840719874187,21.14999284940054,85.93,dictyostelium,False,False,Q558S9,4,0.0,,F-box domain-containing protein,Reference proteome,,False
Q54EV4,0.68530436552695,0.842274505886883,1,"52,55,56,59,60,63,64,67,68,70,71,74,104,105,106,107,108,111,114,115,118,164,167,168,171,257,260,261,264,305,309,312,313,316",0.8136354130834704,14.352212299874054,93.46444444444444,dictyostelium,False,False,B0G159,5,0.0,mcfA,Mitochondrial substrate carrier family protein A,Membrane;Mitochondrion;Mitochondrion inner membrane;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport,"FUNCTION: Calcium-dependent mitochondrial solute carrier. Mitochondrial solute carriers shuttle metabolites, nucleotides, and cofactors through the mitochondrial inner membrane (By similarity). {ECO:0000250}.",False
Q54IQ2,0.6816083527256259,0.7857961152231271,1,"260,261,263,264,265,266,267,268,269,272,294,295,297,298,299,301,302,303,306,309,310,312,313,314,315,494,497,498,499,549,551,552,554",0.8674112018638358,19.846452620909005,86.25562500000001,dictyostelium,False,False,Q54IQ2,6,0.0,,ATP-dependent protease ATPase subunit HslU,ATP-binding;Chaperone;Cytoplasm;Nucleotide-binding;Reference proteome,,True
Q54BM7,0.6766405982405509,0.8070894322732193,1,"380,384,387,388,415,418,419,422,423,426,594,595,596,597,600,710,715,719,740,741,742,766,768,770,772,796,797,798,800,802,819,821,822,823,824,825,826,829,830,833,835,837,903,904,929,930,931,957,959,975,977,979,981,982,985,986",0.8383712773127869,34.005652388216845,90.87166666666668,dictyostelium,False,False,Q54BM7,7,0.0,ppkA,Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphate kinase 1) (PPK1) (Polyphosphoric acid kinase),ATP-binding;Cell cycle;Cell division;Kinase;Nucleotide-binding;Phagocytosis;Phosphoprotein;Reference proteome;Sporulation;Transferase,"FUNCTION: Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyP). Produces polyP in a broad range of chain lengths (50-300 Pi residues). Involved in development (growth and fruiting body formation), sporulation, phagocytosis, cell division and the late stages of cytokinesis. {ECO:0000269|PubMed:15701689, ECO:0000269|PubMed:17940044}.",True
Q54CD1,0.6753097681586765,0.78841442329069,150,"7,8,9,148,152,210,211,213,214,226,227,228,229,258,453,454,457,458,463,466,467,470,471",0.8565416210171086,29.604655442785525,72.81235294117647,dictyostelium,False,False,Q9HD20,8,0.0,ctaA,P-type ATPase A domain-containing protein,Membrane;Reference proteome;Translocase;Transmembrane;Transmembrane helix,,True
Q54PE8,0.6702654443789083,0.8419836852857854,55,"706,709,710,713,761,762,764,766,767,769,770,781,782,783,784,786,787,841,842,843,844,845,846,847,851,852,856,908,909,912,913,915,916,919",0.7960551446450027,12.35191426499046,89.3425,dictyostelium,False,False,Q54PE8,9,0.0,,Calcium-transporting ATPase (EC 7.2.2.10),ATP-binding;Calcium;Calcium transport;Ion transport;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport,FUNCTION: Catalyzes the hydrolysis of ATP coupled with the transport of calcium. {ECO:0000256|RuleBase:RU361146}.,True
Q554V8,0.669539740805258,0.7885334550469874,102,"46,47,50,51,53,54,55,56,57,58,480,502,504,521,522,523,524,542,543,544,545,547,563,564,565,566,567,568,584,585,587,588,589,609,610,611,631,632,633,634,655",0.8490949071594702,20.37783597879227,76.4438888888889,dictyostelium,False,False,Q54FY9,10,0.0,,FNIP repeat-containing protein,Reference proteome;Repeat,,False
